search_query,url
Machine Learning Germn,https://www.linkedin.com/jobs/search/?currentJobId=4414125895&distance=25.0&f_TPR=r86400&geoId=101282230&keywords=Machine%20Learning%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=R
Work Student ML,https://www.linkedin.com/jobs/search/?currentJobId=4410396663&distance=25.0&f_TPR=r86400&geoId=101282230&keywords=work%20student%20data&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R
