search_query,job_title,company_name,job_url,sorted_by_model
Work Student ML,Working Student - Change Management with focus on Data & Artificial Intelligence (AI) (m/f/d),Allianz Commercial,https://de.linkedin.com/jobs/view/working-student-change-management-with-focus-on-data-artificial-intelligence-ai-m-f-d-at-allianz-commercial-4426786590,gemini/gemini-2.5-flash
Work Student ML,Working Student - Change Management with focus on Data & Artificial Intelligence (AI) (m/f/d),Allianz Commercial,https://de.linkedin.com/jobs/view/working-student-change-management-with-focus-on-data-artificial-intelligence-ai-m-f-d-at-allianz-commercial-4426773760,gemini/gemini-2.5-flash
Work Student ML,(Mandatory) Internship - Data Analysis / Tire Line Development - REF97116B,Continental,https://de.linkedin.com/jobs/view/mandatory-internship-data-analysis-tire-line-development-ref97116b-at-continental-4420948840,gemini/gemini-2.5-flash
Work Student ML,Werkstudent im Bereich Marketing Data & Analytics (m/w/d),Zurich Insurance,https://de.linkedin.com/jobs/view/werkstudent-im-bereich-marketing-data-analytics-m-w-d-at-zurich-insurance-4426093446,gemini/gemini-2.5-flash
Work Student ML,Working Student Reinsurance Analytics (m/f/d),Allianz,https://de.linkedin.com/jobs/view/working-student-reinsurance-analytics-m-f-d-at-allianz-4426772775,gemini/gemini-2.5-flash
Work Student ML,Intern Reinsurance Analytics (m/f/d),Allianz,https://de.linkedin.com/jobs/view/intern-reinsurance-analytics-m-f-d-at-allianz-4427055610,gemini/gemini-2.5-flash
Machine Learning Germn,Graduate Software Engineer,European Tech Recruit,https://de.linkedin.com/jobs/view/graduate-software-engineer-at-european-tech-recruit-4427041004,gemini/gemini-2.5-flash
Machine Learning Germn,Junior Software Engineer,Haystack,https://de.linkedin.com/jobs/view/junior-software-engineer-at-haystack-4426062268,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer,BlueLayer,https://de.linkedin.com/jobs/view/software-engineer-at-bluelayer-4426779971,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer - Platform,Jobgether,https://de.linkedin.com/jobs/view/software-engineer-platform-at-jobgether-4426144034,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer - Backend (all genders),Shiftmove,https://de.linkedin.com/jobs/view/software-engineer-backend-all-genders-at-shiftmove-4426775527,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer - Fullstack (m/f/d),OMNIPEAK.AI,https://de.linkedin.com/jobs/view/software-engineer-fullstack-m-f-d-at-omnipeak-ai-4423103332,gemini/gemini-2.5-flash
Work Student ML,Working Student - Backend Development (m/w/d),OKAPI:Orbits,https://de.linkedin.com/jobs/view/working-student-backend-development-m-w-d-at-okapi-orbits-4423128758,gemini/gemini-2.5-flash
Work Student ML,Working Student Frontend Engineer (TypeScript) (d/f/m),Bettermile,https://de.linkedin.com/jobs/view/working-student-frontend-engineer-typescript-d-f-m-at-bettermile-4427022004,gemini/gemini-2.5-flash
Work Student ML,Working Student Frontend Engineer (TypeScript) (d/f/m),Bettermile,https://de.linkedin.com/jobs/view/working-student-frontend-engineer-typescript-d-f-m-at-bettermile-4426759495,gemini/gemini-2.5-flash
Work Student ML,Working Student (f/m/x) - LiDAR Sensors Integration on a Drone Swarm,German Aerospace Center (DLR),https://de.linkedin.com/jobs/view/working-student-f-m-x-lidar-sensors-integration-on-a-drone-swarm-at-german-aerospace-center-dlr-4427010755,gemini/gemini-2.5-flash
Work Student ML,Working Student (m/f/d) Robot Teaching Solutions & Learning Signal Evaluation,Agile Robots SE,https://de.linkedin.com/jobs/view/working-student-m-f-d-robot-teaching-solutions-learning-signal-evaluation-at-agile-robots-se-4410140520,gemini/gemini-2.5-flash
Work Student ML,Thesis - Rapid plastic material characterisation using surrogate modeling (all genders welcome),AUDI AG,https://de.linkedin.com/jobs/view/thesis-rapid-plastic-material-characterisation-using-surrogate-modeling-all-genders-welcome-at-audi-ag-4423104631,gemini/gemini-2.5-flash
Work Student ML,Working Student BI SME Europe (m/f/d),RTL AdAlliance,https://de.linkedin.com/jobs/view/working-student-bi-sme-europe-m-f-d-at-rtl-adalliance-4423100893,gemini/gemini-2.5-flash
Work Student ML,Working Student (f/m/d) - SAP HANA Cloud Infrastructure,SAP,https://de.linkedin.com/jobs/view/working-student-f-m-d-sap-hana-cloud-infrastructure-at-sap-4426085848,gemini/gemini-2.5-flash
Work Student ML,"2026 Engineering Operations Intern, Data Center Engineering Operations - Jobbird.com",Jobster,https://de.linkedin.com/jobs/view/2026-engineering-operations-intern-data-center-engineering-operations-jobbird-com-at-jobster-4426042188,gemini/gemini-2.5-flash
Machine Learning Germn,Senior ML Ops Engineer (m/f/d),Redcare Pharmacy,https://de.linkedin.com/jobs/view/senior-ml-ops-engineer-m-f-d-at-redcare-pharmacy-4426797563,gemini/gemini-2.5-flash
